name,trades,win_rate,avg_return,total_return,avg_days,sharpe,max_drawdown
LB3 -> LB2,2,50.0,-4.0072,-8.14,22.5,-2.5019,-9.37
LB3 -> LB1,2,50.0,1.4187,2.75,31.5,1.2488,-1.79
LB3 -> Midline,2,100.0,6.3287,13.01,58.5,6.2144,0.0
LB3 -> UB1,2,100.0,12.8375,27.32,90.5,65.1432,0.0
LB3 -> UB2,1,100.0,34.0043,34.0,650.0,,0.0
LB3 -> UB3,1,100.0,34.0043,34.0,650.0,,0.0
LB2 -> LB1,6,83.33,2.4103,15.12,18.3,3.2798,-2.33
LB2 -> Midline,3,100.0,3.7823,11.68,83.3,2.6034,0.0
LB2 -> UB1,2,100.0,10.077,21.16,226.5,12.5131,0.0
LB2 -> UB2,1,100.0,29.3402,29.34,911.0,,0.0
LB2 -> UB3,1,100.0,29.3402,29.34,911.0,,0.0
UB3 -> UB2,1,100.0,1.3704,1.37,3.0,,0.0
UB3 -> UB1,1,100.0,3.3952,3.4,4.0,,0.0
UB3 -> Midline,1,100.0,5.5503,5.55,7.0,,0.0
UB3 -> LB1,1,100.0,7.8626,7.86,7.0,,0.0
UB3 -> LB2,1,100.0,6.9333,6.93,268.0,,0.0
UB3 -> LB3,1,100.0,14.41,14.41,325.0,,0.0
UB2 -> UB1,1,100.0,1.0158,1.02,17.0,,0.0
UB2 -> Midline,1,100.0,3.1213,3.12,20.0,,0.0
UB2 -> LB1,1,100.0,5.3804,5.38,20.0,,0.0
UB2 -> LB2,1,100.0,4.4725,4.47,281.0,,0.0
UB2 -> LB3,1,100.0,11.7771,11.78,338.0,,0.0
UB1 -> Midline,7,42.86,-0.922,-6.39,64.6,-1.0163,-7.53
UB1 -> LB1,5,20.0,-2.518,-12.18,139.4,-1.1274,-6.01
UB1 -> LB2,3,0.0,-9.1696,-25.33,386.3,-1.6958,-12.2
UB1 -> LB3,3,33.33,-4.1203,-12.1,409.0,-0.7873,-4.4
