side,entry_date,entry_price,exit_date,exit_price,ret,pnl,entry_band_k,exit_to,duration_days
short,2018-01-10,273.65262467651365,2018-02-05,273.47735720825193,0.0006408847520353866,0.0006408847520353866,3,UB2,26
short,2018-01-12,276.3923714263916,2018-02-05,273.47735720825193,0.01065906972298225,0.01065906972298225,3,UB2,24
short,2018-01-16,279.3220711029053,2018-02-05,273.47735720825193,0.021371838437807655,0.021371838437807655,3,UB2,20
short,2018-01-17,278.00219577941897,2018-02-05,273.47735720825193,0.01654556932010065,0.01654556932010065,3,UB2,19
short,2018-01-18,279.4520629852295,2018-02-05,273.47735720825193,0.02184716803602793,0.02184716803602793,3,UB2,18
short,2018-01-19,279.77200779418945,2018-02-05,273.47735720825193,0.02301708137812719,0.02301708137812719,3,UB2,17
short,2018-01-22,280.1419964263916,2018-02-05,273.47735720825193,0.024369985457569632,0.024369985457569632,3,UB2,14
short,2018-01-23,282.71171623535156,2018-02-05,273.47735720825193,0.03376644824042119,0.03376644824042119,3,UB2,13
short,2018-01-24,283.9915870147705,2018-02-05,273.47735720825193,0.038446436347971735,0.038446436347971735,3,UB2,12
short,2018-01-25,284.13158766174314,2018-02-05,273.47735720825193,0.038958364093660824,0.038958364093660824,3,UB2,11
short,2018-01-29,285.9013996765137,2018-02-05,273.47735720825193,0.04542987615168781,0.04542987615168781,3,UB2,7
short,2018-01-30,282.57174610290525,2018-02-05,273.47735720825193,0.033254632074449786,0.033254632074449786,3,UB2,6
